Year,Strategy,Trades,P&L ($),Return (%),Win Rate (%),Avg R per Trade (approx)
2020,MovingAverage,141,53153,53.15,32.62,376
2020,BTCTrend_v3_relax,38,75469,75.47,55.26,1985
2021,MovingAverage,1149,-734,-0.73,29.07,-1
2021,BTCTrend_v3_relax,206,28443,28.44,34.47,138
2022,MovingAverage,1649,65776,65.78,29.59,40
2022,BTCTrend_v3_relax,243,-15537,-15.54,20.99,-64
2023,MovingAverage,1602,17927,17.93,27.53,11
2023,BTCTrend_v3_relax,339,34846,34.85,33.04,103
2024,MovingAverage,1580,67796,67.8,30.38,43
2024,BTCTrend_v3_relax,316,30731,30.73,32.28,97
2025,MovingAverage,1527,30033,30.03,28.81,20
2025,BTCTrend_v3_relax,246,112,0.11,27.64,0.5
2026_partial,MovingAverage,142,7983,7.98,33.8,56
2026_partial,BTCTrend_v3_relax,28,-6115,-6.12,10.71,-218
